,Title,Published_date,Views,Likes,Favourite,Comments,Month
177,Why You're Struggling to Learn Data Science,2020-06-12,15291,1008,0,159,Jun
178,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11998,360,0,70,Jun
179,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,24073,686,0,146,Jun
180,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5717,154,0,53,Jun
181,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,74629,2227,0,270,May
182,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20995,488,0,81,May
183,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,56018,1994,0,178,May
184,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11275,178,0,53,May
185,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,133909,4502,0,193,May
186,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3104,147,0,115,May
187,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4541,153,0,74,May
188,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1396864,48962,0,1989,May
189,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5584,197,0,42,May
190,What You Need to Know for a Data Science Internship,2020-05-01,22418,1213,0,60,May
191,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8384,348,0,54,Apr
192,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14990,456,0,103,Apr
193,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3151,85,0,24,Apr
194,5 Tips for Crushing the Work From Home Life,2020-04-20,5441,203,0,38,Apr
195,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,21967,744,0,129,Apr
196,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,30036,735,0,98,Apr
197,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,44986,913,0,155,Apr
198,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,73540,1908,0,213,Apr
199,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,82176,1776,0,277,Apr
200,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,131084,3523,0,620,Apr
201,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,201892,5109,0,173,Apr
202,When Data Science Goes Wrong,2020-03-30,1814,106,0,32,Mar
203,How to ULTRALEARN Data Science,2020-03-27,62067,3823,0,169,Mar
204,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4458,268,0,50,Mar
205,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,13280,471,0,45,Mar
206,The Secret Data Scientists Don't Want You to Know,2020-03-16,10812,1138,0,103,Mar
207,The 5 Stages of Learning Data Science,2020-03-13,17589,1296,0,78,Mar
208,Can You Learn Data Science Without a Computer?,2020-03-11,1785,119,0,14,Mar
209,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,347967,21213,0,620,Mar
210,The Data Science Projects that Got Me a Job,2020-03-06,41186,1400,0,41,Mar
